"Time (sec), t","Pwr Demand (kW), P_dem","Velocity (m/s), v_dc",
819,0.047660499,14.260576,
820,1.886404069,14.126464,
821,-5.533828441,14.08176,
822,-2.730211917,13.679424,
823,1.698995218,13.4112,
824,2.566740817,13.366496,
825,2.566740817,13.366496,
826,2.566740817,13.366496,
827,-0.070184833,13.366496,
828,1.654410537,13.232384,
829,2.510619175,13.18768,
830,0.776186474,13.18768,
831,-0.962458511,13.098272,
832,-3.51896308,12.919456,
833,-1.810759553,12.606528,
834,-3.431318712,12.383008,
835,-9.726524723,12.07008,
836,-11.49745606,11.39952,
837,-10.05438921,10.594848,
838,-8.09283286,9.83488,
839,-6.376381575,9.16432,
840,1.334709905,8.583168,
841,6.414539919,8.583168,
842,6.146433764,8.985504,
843,4.569171087,9.343136,
844,5.321647437,9.566656,
845,5.488657107,9.83488,
846,5.657143657,10.103104,
847,7.191175795,10.371328,
848,8.878376402,10.72896,
849,9.286380665,11.176,
850,6.641741695,11.62304,
851,2.129316005,11.891264,
852,3.693245153,11.891264,
853,3.729909501,11.980672,
854,3.766773751,12.07008,
855,7.002250883,12.159488,
856,4.733500764,12.427712,
857,8.103468618,12.561824,
858,3.261155345,12.874752,
859,3.277661336,12.919456,
860,3.294221219,12.96416,
861,1.599920209,13.008864,
862,-5.230956466,12.96416,
863,-2.635315549,12.561824,
864,-1.799135423,12.2936,
865,-7.345354404,12.07008,
866,-4.035911492,11.533632,
867,-1.737555996,11.176,
868,4.040193755,10.95248,
869,4.101065085,11.086592,
870,4.900221454,11.220704,
871,3.495097799,11.39952,
872,5.797210736,11.488928,
873,7.471538731,11.712448,
874,6.911451438,12.025376,
875,4.668240752,12.2936,
876,7.185224278,12.427712,
877,7.370063911,12.695936,
878,4.146738987,12.96416,
879,1.610709001,13.053568,
880,1.599920209,13.008864,
881,1.589185682,12.96416,
882,-0.970228924,12.919456,
883,-0.977137078,12.74064,
884,1.494986053,12.561824,
885,2.307904515,12.51712,
886,-0.984577901,12.51712,
887,-0.989589608,12.338304,
888,-2.592983588,12.159488,
889,5.2571743,11.891264,
890,6.14794407,12.07008,
891,4.668240752,12.2936,
892,3.916259593,12.427712,
893,0.661663307,12.51712,
894,3.916259593,12.427712,
895,2.307904515,12.51712,
896,2.307904515,12.51712,
897,-0.161457297,12.51712,
898,-0.174112893,12.383008,
899,-1.797268219,12.248896,
900,-0.205602071,12.025376,
901,1.347351431,11.891264,
902,2.11693776,11.84656,
903,2.11693776,11.84656,
904,0.558888045,11.84656,
905,1.319183907,11.757152,
906,2.080098775,11.712448,
907,-0.23051835,11.712448,
908,-0.24046018,11.578336,
909,2.007734891,11.444224,
910,4.265437119,11.444224,
911,1.282312938,11.578336,
912,-0.243677281,11.533632,
913,-4.750806824,11.39952,
914,-6.063945167,10.997184,
915,-7.213103178,10.50544,
916,-2.286751401,9.924288,
917,1.567283205,9.656064,
918,2.202261957,9.656064,
919,7.318725584,9.700768,
920,6.98589549,10.103104,
921,5.884159376,10.460736,
922,3.234120831,10.72896,
923,3.268322222,10.818368,
924,5.454576557,10.907776,
925,3.389458377,11.131296,
926,2.686614973,11.220704,
927,2.701258082,11.265408,
928,3.459696443,11.310112,
929,-0.253040666,11.39952,
930,0.478832451,11.265408,
931,1.937089558,11.176,
932,1.937089558,11.176,
933,-0.267697775,11.176,
934,0.450178837,11.041888,
935,0.439041112,10.95248,
936,1.856788323,10.863072,
937,3.285490515,10.863072,
938,5.480654812,10.95248,
939,1.937089558,11.176,
940,-1.002626886,11.176,
941,1.890927528,10.997184,
942,-1.724923697,10.997184,
943,4.668142382,10.773664,
944,6.200885341,10.95248,
945,5.638090281,11.220704,
946,-1.755102156,11.444224,
947,-6.167810954,11.220704,
948,-12.28758199,10.72896,
949,-10.67978333,9.83488,
950,-15,8.985504,
951,-15,7.554976,
952,-12.325665,6.079744,
953,-9.360126096,4.604512,
954,-6.373670891,3.12928,
955,-3.373000721,1.654048,
956,-0.023809819,0.178816,
957,0,0,
958,0,0,
959,0,0,
960,2.056579759,0.89408,
961,5.453904449,2.369312,
962,8.861991898,3.844544,
963,12.28754345,5.319776,
964,11.26889144,6.795008,
965,6.841553666,7.8232,
966,8.934911177,8.314944,
967,7.877191813,8.9408,
968,7.099524353,9.432544,
969,8.075607577,9.83488,
970,11.85552144,10.28192,
971,14.84365168,10.95248,
972,11.37007443,11.757152,
973,7.093506818,12.2936,
974,4.799227335,12.561824,
975,3.195666562,12.695936,
976,2.374139667,12.74064,
977,2.374139667,12.74064,
978,-4.328413824,12.74064,
979,0.640188562,12.383008,
980,-0.182291379,12.2936,
981,-0.993777843,12.159488,
982,-0.209310533,11.980672,
983,-1.778186527,11.84656,
984,-0.237194782,11.62304,
985,-1.757860523,11.488928,
986,-6.929252986,11.265408,
987,-12.28758199,10.72896,
988,-1.625456685,9.83488,
989,1.557147318,9.61136,
990,3.453264424,9.61136,
991,6.073683293,9.745472,
992,4.967522095,10.0584,
993,0.361230148,10.28192,
994,1.692108904,10.192512,
995,3.032619602,10.192512,
